ruleId,ruleName,severity,precision,cwe,file,startLine,startColumn,endLine,endColumn,message,helpUri,contextStart,contextEnd,snippet
cpp/unbounded-write,cpp/unbounded-write,9.3,medium,"CWE-120,CWE-787,CWE-805",/media/shafi/Research/STAILOR/dataset/66502/libxml2_66502_vul/xmlmemory.c,484,5,484,11,This 'call to strcpy' with input from [a command-line argument](1) may overflow the destination.,,479,489,"
    s = (char *) HDR_2_CLIENT(p);

    if (xmlMemStopAtBlock == p->mh_number) xmlMallocBreakpoint();

    strcpy(s,str);

    TEST_POINT

    if (xmlMemTraceBlockAt == s) {
	fprintf(stderr,"
cpp/unbounded-write,cpp/unbounded-write,9.3,medium,"CWE-120,CWE-787,CWE-805",/media/shafi/Research/STAILOR/dataset/66502/libxml2_66502_vul/xzlib.c,153,5,153,11,"This 'call to strcpy' with input from [an environment variable](1) may overflow the destination.
This 'call to strcpy' with input from [a command-line argument](2) may overflow the destination.
This 'call to strcpy' with input from [a command-line argument](3) may overflow the destination.
This 'call to strcpy' with input from [a command-line argument](4) may overflow the destination.",,148,158,"    state->path = xmlMalloc(strlen(path) + 1);
    if (state->path == NULL) {
        xmlFree(state);
        return NULL;
    }
    strcpy(state->path, path);

    /* open the file with the appropriate mode (or just use fd) */
    state->fd = fd != -1 ? fd : open(path,
#ifdef O_LARGEFILE
                                     O_LARGEFILE |"
cpp/unbounded-write,cpp/unbounded-write,9.3,medium,"CWE-120,CWE-787,CWE-805",/media/shafi/Research/STAILOR/dataset/66502/libxml2_66502_vul/xzlib.c,110,5,110,11,This 'call to strcpy' with input from [a command-line argument](1) may overflow the destination.,,105,115,"         xmlMalloc(strlen(state->path) + strlen(msg) + 3)) == NULL) {
        state->err = LZMA_MEM_ERROR;
        state->msg = (char *) ""out of memory"";
        return;
    }
    strcpy(state->msg, state->path);
    strcat(state->msg, "": "");
    strcat(state->msg, msg);
    return;
}
"
local/cpp/cwe-120-overflow,local/cpp/cwe-120-overflow,warning,low,CWE-120,/media/shafi/Research/STAILOR/dataset/66502/libxml2_66502_vul/SAX2.c,2432,6,2432,12,CWE-120: Potential Buffer Overflow via memcpy (unchecked length).,,2427,2437,"		    return;
		}
		ctxt->nodemem = size;
		lastChild->content = newbuf;
	    }
	    memcpy(&lastChild->content[ctxt->nodelen], ch, len);
	    ctxt->nodelen += len;
	    lastChild->content[ctxt->nodelen] = 0;
	} else if (coalesceText) {
	    if (xmlTextConcat(lastChild, ch, len)) {
		xmlSAX2ErrMemory(ctxt);"
local/cpp/cwe-120-overflow,local/cpp/cwe-120-overflow,warning,low,CWE-120,/media/shafi/Research/STAILOR/dataset/66502/libxml2_66502_vul/SAX2.c,1679,6,1679,12,CWE-120: Potential Buffer Overflow via memcpy (unchecked length).,,1674,1684,"
	if ((len < (int) (2 * sizeof(void *))) &&
	    (ctxt->options & XML_PARSE_COMPACT)) {
	    /* store the string in the node overriding properties and nsDef */
	    xmlChar *tmp = (xmlChar *) &(ret->properties);
	    memcpy(tmp, str, len);
	    tmp[len] = 0;
	    intern = tmp;
	} else if ((len <= 3) && ((cur == '""') || (cur == '\'') ||
	    ((cur == '<') && (str[len + 1] != '!')))) {
	    intern = xmlDictLookup(ctxt->dict, str, len);"
local/cpp/cwe-120-overflow,local/cpp/cwe-120-overflow,warning,low,CWE-120,/media/shafi/Research/STAILOR/dataset/66502/libxml2_66502_vul/buf.c,790,5,790,12,CWE-120: Potential Buffer Overflow via memmove (unchecked length).,,785,795,"	    xmlBufMemoryError(buf);
            return XML_ERR_NO_MEMORY;
        }
    }

    memmove(&buf->content[buf->use], str, len);
    buf->use += len;
    buf->content[buf->use] = 0;
    UPDATE_COMPAT(buf)
    return 0;
}"
local/cpp/cwe-120-overflow,local/cpp/cwe-120-overflow,warning,low,CWE-120,/media/shafi/Research/STAILOR/dataset/66502/libxml2_66502_vul/buf.c,691,6,691,13,CWE-120: Potential Buffer Overflow via memmove (unchecked length).,,686,696,"    if ((buf->alloc == XML_BUFFER_ALLOC_IO) && (buf->contentIO != NULL)) {
        start_buf = buf->content - buf->contentIO;

        if (start_buf > newSize) {
	    /* move data back to start */
	    memmove(buf->contentIO, buf->content, buf->use);
	    buf->content = buf->contentIO;
	    buf->content[buf->use] = 0;
	    buf->size += start_buf;
	} else {
	    rebuf = (xmlChar *) xmlRealloc(buf->contentIO, start_buf + newSize);"
local/cpp/cwe-120-overflow,local/cpp/cwe-120-overflow,warning,low,CWE-120,/media/shafi/Research/STAILOR/dataset/66502/libxml2_66502_vul/buf.c,720,3,720,9,CWE-120: Potential Buffer Overflow via memcpy (unchecked length).,,715,725,"	     * better to make a new allocation and copy only the used range
	     * and free the old one.
	     */
	    rebuf = (xmlChar *) xmlMallocAtomic(newSize);
	    if (rebuf != NULL) {
		memcpy(rebuf, buf->content, buf->use);
		xmlFree(buf->content);
		rebuf[buf->use] = 0;
	    }
	}
	if (rebuf == NULL) {"
local/cpp/cwe-120-overflow,local/cpp/cwe-120-overflow,warning,low,CWE-120,/media/shafi/Research/STAILOR/dataset/66502/libxml2_66502_vul/buf.c,342,3,342,10,CWE-120: Potential Buffer Overflow via memmove (unchecked length).,,337,347,"	 * on IO buffers
	 */
	if ((buf->alloc == XML_BUFFER_ALLOC_IO) && (buf->contentIO != NULL)) {
	    size_t start_buf = buf->content - buf->contentIO;
	    if (start_buf >= buf->size) {
		memmove(buf->contentIO, &buf->content[0], buf->use);
		buf->content = buf->contentIO;
		buf->content[buf->use] = 0;
		buf->size += start_buf;
	    }
	}"
local/cpp/cwe-120-overflow,local/cpp/cwe-120-overflow,warning,low,CWE-120,/media/shafi/Research/STAILOR/dataset/66502/libxml2_66502_vul/buf.c,349,2,349,9,CWE-120: Potential Buffer Overflow via memmove (unchecked length).,,344,354,"		buf->content[buf->use] = 0;
		buf->size += start_buf;
	    }
	}
    } else {
	memmove(buf->content, &buf->content[len], buf->use);
	buf->content[buf->use] = 0;
    }
    UPDATE_COMPAT(buf)
    return(len);
}"
