ruleId,ruleName,severity,precision,cwe,file,startLine,startColumn,endLine,endColumn,message,helpUri,contextStart,contextEnd,snippet
cpp/unbounded-write,cpp/unbounded-write,9.3,medium,"CWE-120,CWE-787,CWE-805",/home/shafi/STAILOR/dataset/55980/libxml2_55980_vul/xmlmemory.c,529,5,529,11,"This 'call to strcpy' with input from [an environment variable](1) may overflow the destination.
This 'call to strcpy' with input from [a command-line argument](2) may overflow the destination.
This 'call to strcpy' with input from [a command-line argument](3) may overflow the destination.
This 'call to strcpy' with input from [a command-line argument](4) may overflow the destination.",,524,534,"
    s = (char *) HDR_2_CLIENT(p);

    if (xmlMemStopAtBlock == p->mh_number) xmlMallocBreakpoint();

    strcpy(s,str);

    TEST_POINT

    if (xmlMemTraceBlockAt == s) {
	xmlGenericError(xmlGenericErrorContext,"
local/cpp/cwe-120-overflow,local/cpp/cwe-120-overflow,warning,low,CWE-120,/home/shafi/STAILOR/dataset/55980/libxml2_55980_vul/SAX2.c,2629,6,2629,12,CWE-120: Potential Buffer Overflow via memcpy (unchecked length).,,2624,2634,"		    return;
		}
		ctxt->nodemem = size;
		lastChild->content = newbuf;
	    }
	    memcpy(&lastChild->content[ctxt->nodelen], ch, len);
	    ctxt->nodelen += len;
	    lastChild->content[ctxt->nodelen] = 0;
	} else if (coalesceText) {
	    if (xmlTextConcat(lastChild, ch, len)) {
		xmlSAX2ErrMemory(ctxt, ""xmlSAX2Characters"");"
local/cpp/cwe-120-overflow,local/cpp/cwe-120-overflow,warning,low,CWE-120,/home/shafi/STAILOR/dataset/55980/libxml2_55980_vul/testThreads.c,115,9,115,15,CWE-120: Potential Buffer Overflow via memset (unchecked length).,,110,120,"
    xmlInitParser();
    for (repeat = 0;repeat < TEST_REPEAT_COUNT;repeat++) {
	xmlLoadCatalog(catalog);

        memset(tid, 0xff, sizeof(*tid)*num_threads);

	for (i = 0; i < num_threads; i++) {
	    ret = pthread_create(&tid[i], NULL, thread_specific_data,
				 (void *) &threadParams[i]);
	    if (ret != 0) {"
local/cpp/cwe-120-overflow,local/cpp/cwe-120-overflow,warning,low,CWE-120,/home/shafi/STAILOR/dataset/55980/libxml2_55980_vul/runtest.c,4731,12,4731,17,CWE-120: Potential Buffer Overflow via fgets (unchecked length).,,4726,4736,"	fclose(input);
	return(-1);
    }
    ret = 0;

    while (fgets(expr, 4500, input) != NULL) {
	if (expr[0] == '#')
	    continue;
	len = strlen(expr);
	len--;
	while ((len >= 0) &&"
local/cpp/cwe-120-overflow,local/cpp/cwe-120-overflow,warning,low,CWE-120,/home/shafi/STAILOR/dataset/55980/libxml2_55980_vul/SAX2.c,1884,6,1884,12,CWE-120: Potential Buffer Overflow via memcpy (unchecked length).,,1879,1889,"
	if ((len < (int) (2 * sizeof(void *))) &&
	    (ctxt->options & XML_PARSE_COMPACT)) {
	    /* store the string in the node overriding properties and nsDef */
	    xmlChar *tmp = (xmlChar *) &(ret->properties);
	    memcpy(tmp, str, len);
	    tmp[len] = 0;
	    intern = tmp;
	} else if ((len <= 3) && ((cur == '""') || (cur == '\'') ||
	    ((cur == '<') && (str[len + 1] != '!')))) {
	    intern = xmlDictLookup(ctxt->dict, str, len);"
local/cpp/cwe-120-overflow,local/cpp/cwe-120-overflow,warning,low,CWE-120,/home/shafi/STAILOR/dataset/55980/libxml2_55980_vul/runtest.c,4595,12,4595,17,CWE-120: Potential Buffer Overflow via fgets (unchecked length).,,4590,4600,"    if (output == NULL) {
	fprintf(stderr, ""failed to open output file %s\n"", temp);
        free(temp);
	return(-1);
    }
    while (fgets(expression, 4500, input) != NULL) {
	len = strlen(expression);
	len--;
	while ((len >= 0) &&
	       ((expression[len] == '\n') || (expression[len] == '\t') ||
		(expression[len] == '\r') || (expression[len] == ' '))) len--;"
local/cpp/cwe-120-overflow,local/cpp/cwe-120-overflow,warning,low,CWE-120,/home/shafi/STAILOR/dataset/55980/libxml2_55980_vul/encoding.c,1151,6,1151,13,CWE-120: Potential Buffer Overflow via memmove (unchecked length).,,1146,1156,"    for (i = 0;i < xmlCharEncodingAliasesNb;i++) {
	if (!strcmp(xmlCharEncodingAliases[i].alias, alias)) {
	    xmlFree((char *) xmlCharEncodingAliases[i].name);
	    xmlFree((char *) xmlCharEncodingAliases[i].alias);
	    xmlCharEncodingAliasesNb--;
	    memmove(&xmlCharEncodingAliases[i], &xmlCharEncodingAliases[i + 1],
		    sizeof(xmlCharEncodingAlias) * (xmlCharEncodingAliasesNb - i));
	    return(0);
	}
    }
    return(-1);"
local/cpp/cwe-120-overflow,local/cpp/cwe-120-overflow,warning,low,CWE-120,/home/shafi/STAILOR/dataset/55980/libxml2_55980_vul/runtest.c,4264,5,4264,11,CWE-120: Potential Buffer Overflow via memcpy (unchecked length).,,4259,4269,"    int ret = 0;

    base = baseFilename(filename);
    len = strlen(base);
    len -= 4;
    memcpy(prefix, base, len);
    prefix[len] = 0;

    if (snprintf(buf, 499, ""result/c14n/%s/%s"", subdir, prefix) >= 499)
        buf[499] = 0;
    result = strdup(buf);"
local/cpp/cwe-120-overflow,local/cpp/cwe-120-overflow,warning,low,CWE-120,/home/shafi/STAILOR/dataset/55980/libxml2_55980_vul/hash.c,259,5,259,11,CWE-120: Potential Buffer Overflow via memset (unchecked length).,,254,264,"    table->table = xmlMalloc(size * sizeof(xmlHashEntry));
    if (table->table == NULL) {
	table->table = oldtable;
	return(-1);
    }
    memset(table->table, 0, size * sizeof(xmlHashEntry));
    table->size = size;

    /*	If the two loops are merged, there would be situations where
	a new entry needs to allocated and data copied into it from
	the main table. So instead, we run through the array twice, first"
local/cpp/cwe-120-overflow,local/cpp/cwe-120-overflow,warning,low,CWE-120,/home/shafi/STAILOR/dataset/55980/libxml2_55980_vul/buf.c,823,5,823,12,CWE-120: Potential Buffer Overflow via memmove (unchecked length).,,818,828,"	    xmlBufMemoryError(buf, ""growing buffer"");
            return XML_ERR_NO_MEMORY;
        }
    }

    memmove(&buf->content[buf->use], str, len);
    buf->use += len;
    buf->content[buf->use] = 0;
    UPDATE_COMPAT(buf)
    return 0;
}"
